HLE: ! path: /dev_hdd0/game/
HLE: W No pause.bin found, Auto Pause will not work.
HLE: W No pause.bin found, Auto Pause will not work.
LDR: ! Loading 'D:\Emulateurs\Rpcs3\dev_hdd0\game\DOOM0066612/USRDIR/BOOT.BIN'...
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_hdd0/ -> ./dev_hdd0/
LDR: ! /dev_hdd1/ -> ./dev_hdd1/
LDR: ! /dev_flash/ -> ./dev_flash/
LDR: ! /dev_usb000/ -> ./dev_usb000/
LDR: ! /dev_usb/ -> ./dev_usb000/
LDR: ! /app_home/ -> D:\Emulateurs\Rpcs3\dev_hdd0\game\DOOM0066612/
LDR: ! /dev_bdvd/ -> D:\Emulateurs\Rpcs3\dev_hdd0\game\DOOM0066612//../
LDR: ! /host_root/ -> 
LDR: ! /app_home/PS3_GAME/USRDIR/ -> D:\Emulateurs\Rpcs3\dev_hdd0\game\DOOM0066612//USRDIR/
LDR: ! /dev_flash2/ -> ./dev_flash2/
LDR: ! /app_home/Game/PS3_GAME/USRDIR/ -> D:\Emulateurs\Rpcs3\dev_hdd0\game\DOOM0066612//USRDIR/
LDR: ! //dev_hdd0/ -> ./dev_hdd0/
LDR: ! / -> D:\Emulateurs\Rpcs3\dev_hdd0\game\DOOM0066612//USRDIR/
LDR: !  
LDR: ! Title: PS3DOOM
LDR: ! Serial: DOOM00666
LDR: !  
MEM: ! Initializing memory: m_base_addr = 0xdcad240000
MEM: ! Memory initialized.
LDR: W ElfProgram different load addrs: paddr=0x00090008, vaddr=0x00000000
LDR: ! Imported function '_cellGcmFunc1' in 'cellGcmSys' module
LDR: ! Imported function '_cellGcmFunc12' in 'cellGcmSys' module
LDR: W Unimplemented function '_cellGcmFunc13' in 'cellGcmSys' module
LDR: ! Imported function '_cellGcmFunc15' in 'cellGcmSys' module
LDR: W Unimplemented function '_cellGcmFunc2' in 'cellGcmSys' module
LDR: W Unimplemented function '_cellGcmFunc3' in 'cellGcmSys' module
LDR: W Unimplemented function '_cellGcmFunc38' in 'cellGcmSys' module
LDR: W Unimplemented function '_cellGcmFunc4' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetConfiguration' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetControlRegister' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetCurrentDisplayBufferId' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetCurrentField' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetDefaultCommandWordSize' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetDefaultSegmentWordSize' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetDisplayBufferByFlipIndex' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetDisplayInfo' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetFlipStatus' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetLabelAddress' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetLastFlipTime' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetLastSecondVTime' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetMaxIoMapSize' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetNotifyDataAddress' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetOffsetTable' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetReport' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetReportDataAddress' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetReportDataAddressLocation' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetReportDataLocation' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetTiledPitchSize' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetTileInfo' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetTimeStamp' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetTimeStampLocation' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetVBlankCount' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetZcullInfo' in 'cellGcmSys' module
LDR: ! Imported function '_cellGcmInitBody' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmInitCursor' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmInitDefaultFifoMode' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmInitSystemMode' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmIoOffsetToAddress' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmMapEaIoAddress' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmMapEaIoAddressWithFlags' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmMapLocalMemory' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmMapMainMemory' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmReserveIoMapSize' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmResetFlipStatus' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetCursorDisable' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetCursorEnable' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetCursorImageOffset' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetCursorPosition' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetDebugOutputLevel' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetDefaultCommandBuffer' in 'cellGcmSys' module
LDR: W Unimplemented function 'cellGcmSetDefaultCommandBufferAndSegmentWordSize' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetDefaultFifoSize' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetDisplayBuffer' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetFlip' in 'cellGcmSys' module
LDR: ! Imported function '_cellGcmSetFlipCommand' in 'cellGcmSys' module
LDR: ! Imported function '_cellGcmSetFlipCommandWithWaitLabel' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetFlipHandler' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetFlipImmediate' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetFlipMode' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetFlipStatus' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetGraphicsHandler' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetInvalidateTile' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetPrepareFlip' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetQueueHandler' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetSecondVFrequency' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetSecondVHandler' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetTile' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetTileInfo' in 'cellGcmSys' module
LDR: W Unimplemented function 'cellGcmSetUserCommand' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetUserHandler' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetVBlankFrequency' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetVBlankHandler' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetWaitFlip' in 'cellGcmSys' module
LDR: W Unimplemented function 'cellGcmSetWaitFlipUnsafe' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetZcull' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSortRemapEaIoAddress' in 'cellGcmSys' module
LDR: W Unimplemented function 'cellGcmSysGetLastVBlankTime' in 'cellGcmSys' module
LDR: W Unimplemented function 'cellGcmTerminate' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmUnbindTile' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmUnbindZcull' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmUnmapEaIoAddress' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmUnmapIoAddress' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmUnreserveIoMapSize' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmUpdateCursor' in 'cellGcmSys' module
LDR: ! Imported function 'cellAudioInit' in 'cellAudio' module
LDR: ! Imported function 'cellAudioPortClose' in 'cellAudio' module
LDR: ! Imported function 'cellAudioPortStop' in 'cellAudio' module
LDR: ! Imported function 'cellAudioGetPortConfig' in 'cellAudio' module
LDR: ! Imported function 'cellAudioPortStart' in 'cellAudio' module
LDR: ! Imported function 'cellAudioQuit' in 'cellAudio' module
LDR: ! Imported function 'cellAudioPortOpen' in 'cellAudio' module
LDR: ! Imported function 'cellAudioSetPortLevel' in 'cellAudio' module
LDR: W Unimplemented function 'cellKbClearBuf' in 'cellAudio' module
LDR: ! Imported function 'cellAudioMiscSetAccessoryVolume' in 'cellAudio' module
LDR: ! Imported function 'cellAudioSetNotifyEventQueue' in 'cellAudio' module
LDR: ! Imported function 'cellAudioGetPortTimestamp' in 'cellAudio' module
LDR: ! Imported function 'cellAudioAdd2chData' in 'cellAudio' module
LDR: ! Imported function 'cellAudioAddData' in 'cellAudio' module
LDR: ! Imported function 'cellAudioGetPortBlockTag' in 'cellAudio' module
LDR: ! Imported function 'cellAudioRemoveNotifyEventQueue' in 'cellAudio' module
LDR: ! Imported function 'sys_process_exit' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_game_process_exitspawn2' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_spu_elf_get_information' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_spu_elf_get_segments' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_raw_spu_load' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_raw_spu_image_load' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_spu_image_close' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_spu_image_import' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_ppu_thread_exit' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_ppu_thread_create' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_ppu_thread_get_id' in 'sysPrxForUser' module
LDR: W Unimplemented function 'sys_ppu_thread_register_atexit' in 'sysPrxForUser' module
LDR: W Unimplemented function 'sys_interrupt_thread_disestablish' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_ppu_thread_once' in 'sysPrxForUser' module
LDR: W Unimplemented function 'sys_ppu_thread_unregister_atexit' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_lwmutex_create' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_lwmutex_destroy' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_lwmutex_lock' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_lwmutex_unlock' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_initialize_tls' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_time_get_system_time' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_prx_exitspawn_with_level' in 'sysPrxForUser' module
HLE: W {PPU[1] Thread (CPUThread)[0x0007404c]} sys_io warning: cellPadInit(max_connect=1)
HLE: W {PPU[1] Thread (CPUThread)[0x000761c0]} cellGcmSys warning: _cellGcmInitBody(context_addr=0xd000f9b0, cmdSize=0x10000, ioSize=0x100000, ioAddress=0x30200000)
HLE: W {PPU[1] Thread (CPUThread)[0x000761c0]} cellGcmSys warning: *** local memory(addr=0xc0000000, size=0xf900000)
HLE: W {PPU[1] Thread (CPUThread)[0x000761c0]} cellGcmSys warning: cellGcmInit(): 256MB io address space used
HLE: W {PPU[1] Thread (CPUThread)[0x000761c0]} cellGcmSys warning: cellGcmMapEaIoAddress(ea=0x30200000, io=0x0, size=0x100000)
RSX: ! {RSXThread} RSX thread started
HLE: W {PPU[1] Thread (CPUThread)[0x00072010]} cellSysutil warning: cellVideoOutConfigure(videoOut=0, config_addr=0xd000fa40, option_addr=0x0, waitForEvent=0x0)
HLE: W {PPU[1] Thread (CPUThread)[0x000762ec]} cellGcmSys warning: cellGcmSetFlipMode(mode=2)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c090]} sys_fs warning: cellFsFstat(fd=1, sb_addr=0xd000eff0)
TTY: RSX_Init: Done, target resolution is 960x600 -> 1280x720.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb000/ps3doom/doom2.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb000/ps3doom/doom2.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb000/ps3doom/plutonia.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb000/ps3doom/plutonia.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb000/ps3doom/tnt.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb000/ps3doom/tnt.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb000/ps3doom/doom.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb000/ps3doom/doom1.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb000/ps3doom/doom1.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb001/ps3doom/doom2.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb001/ps3doom/doom2.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb001/ps3doom/plutonia.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb001/ps3doom/plutonia.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb001/ps3doom/tnt.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb001/ps3doom/tnt.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb001/ps3doom/doom.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb001/ps3doom/doom.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb001/ps3doom/doom1.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb001/ps3doom/doom1.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb002/ps3doom/doom2.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb002/ps3doom/doom2.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb002/ps3doom/plutonia.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb002/ps3doom/plutonia.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb002/ps3doom/tnt.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb002/ps3doom/tnt.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb002/ps3doom/doom.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb002/ps3doom/doom.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb002/ps3doom/doom1.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb002/ps3doom/doom1.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb003/ps3doom/doom2.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb003/ps3doom/doom2.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb003/ps3doom/plutonia.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb003/ps3doom/plutonia.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb003/ps3doom/tnt.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb003/ps3doom/tnt.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb003/ps3doom/doom.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb003/ps3doom/doom.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb003/ps3doom/doom1.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb003/ps3doom/doom1.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb004/ps3doom/doom2.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb004/ps3doom/doom2.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb004/ps3doom/plutonia.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb004/ps3doom/plutonia.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb004/ps3doom/tnt.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb004/ps3doom/tnt.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb004/ps3doom/doom.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb004/ps3doom/doom.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb004/ps3doom/doom1.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb004/ps3doom/doom1.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb005/ps3doom/doom2.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb005/ps3doom/doom2.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb005/ps3doom/plutonia.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb005/ps3doom/plutonia.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb005/ps3doom/tnt.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb005/ps3doom/tnt.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb005/ps3doom/doom.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb005/ps3doom/doom.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb005/ps3doom/doom1.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb005/ps3doom/doom1.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb006/ps3doom/doom2.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb006/ps3doom/doom2.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb006/ps3doom/plutonia.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb006/ps3doom/plutonia.wad" not found.
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat(path="/dev_usb006/ps3doom/tnt.wad", sb_addr=0xd000f040)
HLE: W {PPU[1] Thread (CPUThread)[0x0004c150]} sys_fs warning: cellFsStat: "/dev_usb006/ps3doom/tnt.wad" not found.
