HLE: ! path: /dev_hdd0/game/
HLE: W No pause.bin found, Auto Pause will not work.
HLE: W No pause.bin found, Auto Pause will not work.
LDR: ! Loading 'D:\Emulateurs\Rpcs3\dev_hdd0\game\BLES00798-[Dragon]/PS3_GAME/USRDIR/BOOT.BIN'...
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_hdd0/ -> ./dev_hdd0/
LDR: ! /dev_hdd1/ -> ./dev_hdd1/
LDR: ! /dev_flash/ -> ./dev_flash/
LDR: ! /dev_usb000/ -> ./dev_usb000/
LDR: ! /dev_usb/ -> ./dev_usb000/
LDR: ! /app_home/ -> D:\Emulateurs\Rpcs3\dev_hdd0\game\BLES00798-[Dragon]/PS3_GAME/
LDR: ! /dev_bdvd/ -> D:\Emulateurs\Rpcs3\dev_hdd0\game\BLES00798-[Dragon]/PS3_GAME//../
LDR: ! /host_root/ -> 
LDR: ! /app_home/PS3_GAME/USRDIR/ -> D:\Emulateurs\Rpcs3\dev_hdd0\game\BLES00798-[Dragon]/PS3_GAME//USRDIR/
LDR: ! /dev_flash2/ -> ./dev_flash2/
LDR: ! /app_home/Game/PS3_GAME/USRDIR/ -> D:\Emulateurs\Rpcs3\dev_hdd0\game\BLES00798-[Dragon]/PS3_GAME//USRDIR/
LDR: ! //dev_hdd0/ -> ./dev_hdd0/
LDR: ! / -> D:\Emulateurs\Rpcs3\dev_hdd0\game\BLES00798-[Dragon]/PS3_GAME//USRDIR/
LDR: !  
LDR: ! Title: How to Train Your Dragonâ„¢
LDR: ! Imported function 'cellGcmSetDisplayBuffer' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetControlRegister' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmUnbindZcull' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetVBlankHandler' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmResetFlipStatus' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetTileInfo' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetGraphicsHandler' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmUnbindTile' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetConfiguration' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetLabelAddress' in 'cellGcmSys' module
LDR: ! Imported function '_cellGcmInitBody' in 'cellGcmSys' module
LDR: ! Imported function '_cellGcmSetFlipCommand' in 'cellGcmSys' module
LDR: ! Imported function '_cellGcmFunc15' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetDefaultCommandWordSize' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetDefaultSegmentWordSize' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetDefaultFifoSize' in 'cellGcmSys' module
LDR: ! Imported function '_cellGcmSetFlipCommandWithWaitLabel' in 'cellGcmSys' module
LDR: ! Imported function 'cellSysutilUnregisterCallback' in 'cellSysutil' module
LDR: ! Imported function 'cellVideoOutConfigure' in 'cellSysutil' module
LDR: ! Imported function 'cellSysutilCheckCallback' in 'cellSysutil' module
LDR: ! Imported function 'cellSaveDataListLoad2' in 'cellSysutil' module
LDR: ! Imported function 'cellSaveDataListAutoLoad' in 'cellSysutil' module
LDR: ! Imported function 'cellSysutilEnableBgmPlayback' in 'cellSysutil' module
LDR: ! Imported function 'cellSaveDataFixedLoad2' in 'cellSysutil' module
LDR: ! Imported function 'cellSaveDataFixedSave2' in 'cellSysutil' module
LDR: ! Imported function 'cellSaveDataListSave2' in 'cellSysutil' module
LDR: ! Imported function 'cellSysutilGetSystemParamInt' in 'cellSysutil' module
LDR: ! Imported function 'cellAudioOutConfigure' in 'cellSysutil' module
LDR: ! Imported function 'cellMsgDialogOpen2' in 'cellSysutil' module
LDR: ! Imported function 'cellVideoOutGetState' in 'cellSysutil' module
LDR: ! Imported function 'cellSysutilRegisterCallback' in 'cellSysutil' module
LDR: ! Imported function 'cellSysutilGetBgmPlaybackStatus' in 'cellSysutil' module
LDR: ! Imported function 'cellAudioOutGetSoundAvailability' in 'cellSysutil' module
LDR: ! Imported function 'cellAudioOutSetCopyControl' in 'cellSysutil' module
LDR: ! Imported function 'cellSysutilDisableBgmPlayback' in 'cellSysutil' module
LDR: ! Imported function 'cellVideoOutGetResolution' in 'cellSysutil' module
LDR: W Unimplemented function 'cellSaveDataDelete2' in 'cellSysutil' module
LDR: ! Imported function 'cellVideoOutGetResolutionAvailability' in 'cellSysutil' module
LDR: ! Imported function 'cellAudioOutGetDeviceInfo' in 'cellSysutil' module
LDR: ! Imported function 'cellAudioOutGetNumberOfDevice' in 'cellSysutil' module
LDR: ! Imported function 'cellAudioOutGetConfiguration' in 'cellSysutil' module
LDR: ! Imported function 'cellAudioOutGetState' in 'cellSysutil' module
LDR: W Unknown module 'cellSysutilAvconfExt'
LDR: ! Imported function 'cellVideoOutSetGamma' in 'cellSysutilAvconfExt' module
LDR: ! Imported function 'cellRescGetNumColorBuffers' in 'cellResc' module
LDR: ! Imported function 'cellRescSetWaitFlip' in 'cellResc' module
LDR: ! Imported function 'cellRescSetDsts' in 'cellResc' module
LDR: ! Imported function 'cellRescAdjustAspectRatio' in 'cellResc' module
LDR: ! Imported function 'cellRescSetDisplayMode' in 'cellResc' module
LDR: ! Imported function 'cellRescSetConvertAndFlip' in 'cellResc' module
LDR: ! Imported function 'cellRescExit' in 'cellResc' module
LDR: ! Imported function 'cellRescSetFlipHandler' in 'cellResc' module
LDR: ! Imported function 'cellRescInit' in 'cellResc' module
LDR: ! Imported function 'cellRescGetBufferSize' in 'cellResc' module
LDR: ! Imported function 'cellRescSetSrc' in 'cellResc' module
LDR: ! Imported function 'cellRescSetBufferAddress' in 'cellResc' module
LDR: ! Imported function 'cellRescSetVBlankHandler' in 'cellResc' module
LDR: ! Imported function 'cellRescCreateInterlaceTable' in 'cellResc' module
LDR: ! Imported function 'cellFsClose' in 'sys_fs' module
LDR: ! Imported function 'cellFsOpendir' in 'sys_fs' module
LDR: ! Imported function 'cellFsRead' in 'sys_fs' module
LDR: ! Imported function 'cellFsOpen' in 'sys_fs' module
LDR: ! Imported function 'cellFsStat' in 'sys_fs' module
LDR: ! Imported function 'cellFsGetDirectoryEntries' in 'sys_fs' module
LDR: ! Imported function 'cellFsLseek' in 'sys_fs' module
LDR: ! Imported function 'cellFsClosedir' in 'sys_fs' module
LDR: ! Imported function 'cellFsWrite' in 'sys_fs' module
LDR: ! Imported function 'cellSpursDetachLv2EventQueue' in 'cellSpurs' module
LDR: ! Imported function 'cellSpursAttachLv2EventQueue' in 'cellSpurs' module
LDR: ! Imported function 'cellSpursEventFlagDetachLv2EventQueue' in 'cellSpurs' module
LDR: ! Imported function 'cellSpursEventFlagWait' in 'cellSpurs' module
LDR: ! Imported function 'cellSpursJoinTaskset' in 'cellSpurs' module
LDR: ! Imported function 'cellSpursShutdownTaskset' in 'cellSpurs' module
LDR: ! Imported function '_cellSpursSendSignal' in 'cellSpurs' module
LDR: W Unimplemented function 'UCS2stoUTF8s' in 'cellL10n' module
LDR: ! Imported function 'sceNpTrophyRegisterContext' in 'sceNpTrophy' module
LDR: ! Imported function 'sceNpTrophyCreateHandle' in 'sceNpTrophy' module
LDR: ! Imported function 'sceNpTrophyGetRequiredDiskSpace' in 'sceNpTrophy' module
LDR: ! Imported function 'sceNpTrophyInit' in 'sceNpTrophy' module
LDR: ! Imported function 'sceNpTrophyGetGameInfo' in 'sceNpTrophy' module
LDR: ! Imported function 'sceNpTrophyUnlockTrophy' in 'sceNpTrophy' module
LDR: ! Imported function 'sceNpTrophyGetTrophyUnlockState' in 'sceNpTrophy' module
LDR: ! Imported function 'sceNpTrophyCreateContext' in 'sceNpTrophy' module
LDR: ! Imported function 'cellGameContentPermit' in 'cellGame' module
LDR: ! Imported function 'cellGameContentErrorDialog' in 'cellGame' module
LDR: ! Imported function 'cellGameBootCheck' in 'cellGame' module
LDR: ! Imported function 'cellAudioInit' in 'cellAudio' module
LDR: ! Imported function 'cellAudioPortClose' in 'cellAudio' module
LDR: ! Imported function 'cellAudioSetPortLevel' in 'cellAudio' module
LDR: ! Imported function 'cellAudioPortStop' in 'cellAudio' module
LDR: ! Imported function 'cellAudioGetPortConfig' in 'cellAudio' module
LDR: ! Imported function 'cellAudioPortStart' in 'cellAudio' module
LDR: ! Imported function 'cellAudioQuit' in 'cellAudio' module
LDR: ! Imported function 'cellAudioPortOpen' in 'cellAudio' module
LDR: ! Imported function 'sys_lwmutex_lock' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_lwmutex_unlock' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_ppu_thread_create' in 'sysPrxForUser' module
LDR: ! Imported function '_sys_process_atexitspawn' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_lwmutex_create' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_ppu_thread_get_id' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_prx_register_library' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_initialize_tls' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_time_get_system_time' in 'sysPrxForUser' module
LDR: ! Imported function '_sys_process_at_Exitspawn' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_prx_exitspawn_with_level' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_lwmutex_trylock' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_ppu_thread_exit' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_lwmutex_destroy' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_spu_image_close' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_process_exit' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_spu_image_import' in 'sysPrxForUser' module
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0xa9fed8, attr_addr=0x8ae468)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 3
HLE: W {PPU[1] Thread (CPUThread)[0x007922dc]} sys_memory warning: sys_memory_get_user_memory_size(mem_info_addr=0xd000fc04)
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0xa9fce0, attr_addr=0x8ae468)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 4
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0xa9f468, attr_addr=0x8ae468)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 5
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0xa9f490, attr_addr=0x8ae468)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 6
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0xa9f4b8, attr_addr=0x8ae468)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 7
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0xa9f3a0, attr_addr=0x8ae468)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 8
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0xa9f3c8, attr_addr=0x8ae468)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 9
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0xa9f3f0, attr_addr=0x8ae468)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 10
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0xa9f418, attr_addr=0x8ae468)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 11
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0xa9f440, attr_addr=0x8ae468)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 12
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x30100020, attr_addr=0x8ae468)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 13
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x301000a0, attr_addr=0x8ae468)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 14
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x30100130, attr_addr=0x8ae468)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 15
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x30100190, attr_addr=0x8ae468)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 16
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x301001d0, attr_addr=0x8ae468)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 17
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x30100210, attr_addr=0x8ae468)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 18
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x301002d0, attr_addr=0x8ae468)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 19
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x30100300, attr_addr=0x8ae468)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 20
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x30100330, attr_addr=0x8ae468)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 21
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x30100360, attr_addr=0x8ae468)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 22
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x30100390, attr_addr=0x8ae468)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 23
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x301003c0, attr_addr=0x8ae468)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 24
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x30102200, attr_addr=0xd000f990)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [keMutex] (attribute=0x12): sq_id = 25
HLE: W {PPU[1] Thread (CPUThread)[0x008df0a0]} cellSysutil warning: cellSysutilRegisterCallback(slot=0, func_addr=0x974b88, userdata=0x0)
HLE: W {PPU[1] Thread (CPUThread)[0x008db010]} cellSysmodule warning: cellSysmoduleLoadModule(CELL_SYSMODULE_L10N)
HLE: W {PPU[1] Thread (CPUThread)[0x008db010]} cellSysmodule warning: cellSysmoduleLoadModule(CELL_SYSMODULE_AVCONF_EXT)
HLE: W {PPU[1] Thread (CPUThread)[0x008db010]} cellSysmodule warning: cellSysmoduleLoadModule(CELL_SYSMODULE_SYSUTIL_GAME)
HLE: W {PPU[1] Thread (CPUThread)[0x008db010]} cellSysmodule warning: cellSysmoduleLoadModule(CELL_SYSMODULE_SYSUTIL_NP_TROPHY)
HLE: W {PPU[1] Thread (CPUThread)[0x008df070]} cellSysutil warning: cellSysutilGetSystemParamInt: CELL_SYSUTIL_SYSTEMPARAM_ID_ENTER_BUTTON_ASSIGN
HLE: W {PPU[1] Thread (CPUThread)[0x008df040]} cellSysutil warning: cellSysutilEnableBgmPlayback()
HLE: W {PPU[1] Thread (CPUThread)[0x008df070]} cellSysutil warning: cellSysutilGetSystemParamInt: CELL_SYSUTIL_SYSTEMPARAM_ID_PAD_RUMBLE
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x30100fb0, attr_addr=0xd000fa60)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [keMutex] (attribute=0x22): sq_id = 26
HLE: W {PPU[1] Thread (CPUThread)[0x00021e20]} sys_semaphore warning: sys_semaphore_create(sem_addr=0x30100fd0, attr_addr=0xd000f9c0, initial_count=1, max_count=1)
HLE: ! {PPU[1] Thread (CPUThread)[0x00021e20]} sys_semaphore: *** semaphore created [keSema] (protocol=0x2): id = 27
HLE: W {PPU[1] Thread (CPUThread)[0x00021e20]} sys_semaphore warning: sys_semaphore_create(sem_addr=0x30100fd4, attr_addr=0xd000f9c0, initial_count=0, max_count=2147483647)
HLE: ! {PPU[1] Thread (CPUThread)[0x00021e20]} sys_semaphore: *** semaphore created [keSema] (protocol=0x2): id = 28
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x30100fd8, attr_addr=0xd000f9d0)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [keMutex] (attribute=0x22): sq_id = 29
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x30109e80, attr_addr=0xd000f830)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [keMutex] (attribute=0x22): sq_id = 30
HLE: W {PPU[1] Thread (CPUThread)[0x00021e20]} sys_semaphore warning: sys_semaphore_create(sem_addr=0x30109ea8, attr_addr=0xd000f790, initial_count=1, max_count=1)
HLE: ! {PPU[1] Thread (CPUThread)[0x00021e20]} sys_semaphore: *** semaphore created [keSema] (protocol=0x2): id = 31
HLE: W {PPU[1] Thread (CPUThread)[0x00021e20]} sys_semaphore warning: sys_semaphore_create(sem_addr=0x30109eac, attr_addr=0xd000f790, initial_count=0, max_count=2147483647)
HLE: ! {PPU[1] Thread (CPUThread)[0x00021e20]} sys_semaphore: *** semaphore created [keSema] (protocol=0x2): id = 32
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x30109eb0, attr_addr=0xd000f7a0)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [keMutex] (attribute=0x22): sq_id = 33
HLE: W {PPU[1] Thread (CPUThread)[0x00021e20]} sys_semaphore warning: sys_semaphore_create(sem_addr=0x30109ee0, attr_addr=0xd000f790, initial_count=1, max_count=1)
HLE: ! {PPU[1] Thread (CPUThread)[0x00021e20]} sys_semaphore: *** semaphore created [keSema] (protocol=0x2): id = 34
HLE: W {PPU[1] Thread (CPUThread)[0x00021e20]} sys_semaphore warning: sys_semaphore_create(sem_addr=0x30109ee4, attr_addr=0xd000f790, initial_count=0, max_count=2147483647)
HLE: ! {PPU[1] Thread (CPUThread)[0x00021e20]} sys_semaphore: *** semaphore created [keSema] (protocol=0x2): id = 35
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x30109ee8, attr_addr=0xd000f7a0)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [keMutex] (attribute=0x22): sq_id = 36
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x30109f20, attr_addr=0xd000f7a0)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [keMutex] (attribute=0x22): sq_id = 37
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x3010a2c0, attr_addr=0xd000f750)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [keMutex] (attribute=0x22): sq_id = 38
HLE: W {PPU[1] Thread (CPUThread)[0x00021e20]} sys_semaphore warning: sys_semaphore_create(sem_addr=0x3010a2e0, attr_addr=0xd000f6b0, initial_count=1, max_count=1)
HLE: ! {PPU[1] Thread (CPUThread)[0x00021e20]} sys_semaphore: *** semaphore created [keSema] (protocol=0x2): id = 39
HLE: W {PPU[1] Thread (CPUThread)[0x00021e20]} sys_semaphore warning: sys_semaphore_create(sem_addr=0x3010a2e4, attr_addr=0xd000f6b0, initial_count=0, max_count=2147483647)
HLE: ! {PPU[1] Thread (CPUThread)[0x00021e20]} sys_semaphore: *** semaphore created [keSema] (protocol=0x2): id = 40
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x3010a2e8, attr_addr=0xd000f6c0)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [keMutex] (attribute=0x22): sq_id = 41
HLE: ! {PPU[1] Thread (CPUThread)[0x00af801c]} sys_ppu_thread: *** New PPU Thread [CKLoadRequestQueue 0] (joinable, entry=0x9094a8): id = 42
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x30109f60, attr_addr=0xd000f880)
HLE: ! {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex: *** lwmutex created [keMutex] (attribute=0x22): sq_id = 43
HLE: W {PPU[1] Thread (CPUThread)[0x00021e20]} sys_semaphore warning: sys_semaphore_create(sem_addr=0x30109f80, attr_addr=0xd000f7e0, initial_count=1, max_count=1)
HLE: ! {PPU[1] Thread (CPUThread)[0x00021e20]} sys_semaphore: *** semaphore created [keSema] (protocol=0x2): id = 44
HLE: W {PPU[1] Thread (CPUThread)[0x00021e20]} sys_semaphore warning: sys_semaphore_create(sem_addr=0x30109f84, attr_addr=0xd000f7e0, initial_count=0, max_count=2147483647)
HLE: ! {PPU[1] Thread (CPUThread)[0x00021e20]} sys_semaphore: *** semaphore created [keSema] (protocol=0x2): id = 45
HLE: W {PPU[1] Thread (CPUThread)[0x00af8034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x30109f88, attr_addr=0xd000f7f0)
