HLE: ! path: /dev_hdd0/game/
HLE: W No pause.bin found, Auto Pause will not work.
HLE: W No pause.bin found, Auto Pause will not work.
LDR: ! Loading 'D:\Emulateurs\Rpcs3\dev_hdd0\game\BLES01364-[Family Game Night 4]/PS3_GAME/USRDIR/BOOT.BIN'...
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_hdd0/ -> ./dev_hdd0/
LDR: ! /dev_hdd1/ -> ./dev_hdd1/
LDR: ! /dev_flash/ -> ./dev_flash/
LDR: ! /dev_usb000/ -> ./dev_usb000/
LDR: ! /dev_usb/ -> ./dev_usb000/
LDR: ! /app_home/ -> D:\Emulateurs\Rpcs3\dev_hdd0\game\BLES01364-[Family Game Night 4]/PS3_GAME/
LDR: ! Imported function 'sceNpTrophyGetRequiredDiskSpace' in 'sceNpTrophy' module
LDR: ! Imported function 'sceNpTrophyDestroyContext' in 'sceNpTrophy' module
LDR: ! Imported function 'sceNpTrophyInit' in 'sceNpTrophy' module
LDR: ! Imported function 'sceNpTrophyGetGameInfo' in 'sceNpTrophy' module
LDR: ! Imported function 'sceNpTrophyDestroyHandle' in 'sceNpTrophy' module
LDR: ! Imported function 'sceNpTrophyUnlockTrophy' in 'sceNpTrophy' module
LDR: ! Imported function 'sceNpTrophyTerm' in 'sceNpTrophy' module
LDR: ! Imported function 'sceNpTrophyCreateContext' in 'sceNpTrophy' module
LDR: ! Imported function 'sceNpTrophyGetTrophyInfo' in 'sceNpTrophy' module
LDR: ! Imported function 'cellNetCtlNetStartDialogLoadAsync' in 'cellNetCtl' module
LDR: ! Imported function 'cellNetCtlNetStartDialogUnloadAsync' in 'cellNetCtl' module
LDR: ! Imported function 'cellNetCtlTerm' in 'cellNetCtl' module
LDR: ! Imported function 'cellNetCtlInit' in 'cellNetCtl' module
LDR: ! Imported function 'cellSailGraphicsAdapterGetFrame' in 'cellSail' module
LDR: ! Imported function 'cellSailPlayerSetSoundAdapter' in 'cellSail' module
LDR: ! Imported function 'cellSailPlayerFinalize' in 'cellSail' module
LDR: ! Imported function 'cellSailPlayerSetGraphicsAdapter' in 'cellSail' module
LDR: ! Imported function 'cellSailGraphicsAdapterInitialize' in 'cellSail' module
LDR: ! Imported function 'cellSailSoundAdapterSetPreferredFormat' in 'cellSail' module
LDR: ! Imported function 'cellSailPlayerInitialize2' in 'cellSail' module
LDR: ! Imported function 'cellSailGraphicsAdapterSetPreferredFormat' in 'cellSail' module
LDR: ! Imported function 'cellSailMemAllocatorInitialize' in 'cellSail' module
LDR: ! Imported function 'cellSailPlayerOpenStream' in 'cellSail' module
LDR: ! Imported function 'cellSailSoundAdapterInitialize' in 'cellSail' module
LDR: ! Imported function 'cellSailGraphicsAdapterUpdateAvSync' in 'cellSail' module
LDR: ! Imported function 'cellSailPlayerSetParameter' in 'cellSail' module
LDR: ! Imported function 'cellSailPlayerAddDescriptor' in 'cellSail' module
LDR: ! Imported function 'cellSailSoundAdapterGetFrame' in 'cellSail' module
LDR: ! Imported function 'cellSailPlayerCloseStream' in 'cellSail' module
LDR: ! Imported function 'cellSailPlayerBoot' in 'cellSail' module
LDR: ! Imported function 'cellSailPlayerCreateDescriptor' in 'cellSail' module
LDR: ! Imported function 'cellSailPlayerStart' in 'cellSail' module
LDR: ! Imported function 'cellSailPlayerStop' in 'cellSail' module
LDR: ! Imported function 'cellSailSoundAdapterUpdateAvSync' in 'cellSail' module
LDR: ! Imported function 'cellSailSoundAdapterGetFormat' in 'cellSail' module
LDR: ! Imported function 'cellSailPlayerSetRepeatMode' in 'cellSail' module
LDR: ! Imported function 'cellSailPlayerDestroyDescriptor' in 'cellSail' module
LDR: ! Imported function 'cellSailGraphicsAdapterGetFormat' in 'cellSail' module
LDR: W Unknown module 'libgem'
LDR: W Unimplemented function 'cellGemUpdateStart' in 'libgem' module
LDR: W Unimplemented function 'cellGemInit' in 'libgem' module
LDR: W Unimplemented function 'cellGemConvertVideoFinish' in 'libgem' module
LDR: W Unimplemented function 'cellGemGetRGB' in 'libgem' module
LDR: W Unimplemented function 'cellGemGetMemorySize' in 'libgem' module
LDR: W Unimplemented function 'cellGemUpdateFinish' in 'libgem' module
LDR: W Unimplemented function 'cellGemGetState' in 'libgem' module
LDR: W Unimplemented function 'cellGemConvertVideoStart' in 'libgem' module
LDR: W Unimplemented function 'cellGemTrackHues' in 'libgem' module
LDR: W Unimplemented function 'cellGemGetImageState' in 'libgem' module
LDR: W Unimplemented function 'cellGemGetInfo' in 'libgem' module
LDR: W Unimplemented function 'cellGemPrepareCamera' in 'libgem' module
LDR: W Unimplemented function 'cellGemCalibrate' in 'libgem' module
LDR: W Unimplemented function 'cellGemPrepareVideoConvert' in 'libgem' module
LDR: W Unimplemented function 'cellGemEnd' in 'libgem' module
LDR: W Unimplemented function 'cellGemGetStatusFlags' in 'libgem' module
LDR: W Unimplemented function 'cellGemSetRumble' in 'libgem' module
LDR: ! Imported function 'cellCameraStop' in 'cellCamera' module
LDR: ! Imported function 'cellCameraGetBufferInfoEx' in 'cellCamera' module
LDR: ! Imported function 'cellCameraReadEx' in 'cellCamera' module
LDR: ! Imported function 'cellCameraClose' in 'cellCamera' module
LDR: ! Imported function 'cellCameraRemoveNotifyEventQueue2' in 'cellCamera' module
LDR: ! Imported function 'cellCameraStart' in 'cellCamera' module
LDR: ! Imported function 'cellCameraGetType' in 'cellCamera' module
LDR: ! Imported function 'cellCameraEnd' in 'cellCamera' module
LDR: ! Imported function 'cellCameraOpenEx' in 'cellCamera' module
LDR: ! Imported function 'cellCameraReset' in 'cellCamera' module
LDR: ! Imported function 'cellCameraIsAvailable' in 'cellCamera' module
LDR: ! Imported function 'cellCameraSetAttribute' in 'cellCamera' module
LDR: ! Imported function 'cellCameraSetNotifyEventQueue2' in 'cellCamera' module
LDR: ! Imported function 'cellCameraInit' in 'cellCamera' module
LDR: W Unknown module 'cellSysutilAvconfExt'
LDR: W Unimplemented function 'cellVideoOutSetGamma' in 'cellSysutilAvconfExt' module
LDR: ! Imported function 'sys_lwmutex_lock' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_lwmutex_unlock' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_ppu_thread_create' in 'sysPrxForUser' module
LDR: ! Imported function '_sys_process_atexitspawn' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_lwmutex_create' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_ppu_thread_get_id' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_prx_register_library' in 'sysPrxForUser' module
LDR: ! Imported function '_sys_spu_printf_initialize' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_initialize_tls' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_time_get_system_time' in 'sysPrxForUser' module
LDR: ! Imported function '_sys_process_at_Exitspawn' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_prx_exitspawn_with_level' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_ppu_thread_once' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_lwmutex_trylock' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_ppu_thread_exit' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_lwmutex_destroy' in 'sysPrxForUser' module
LDR: ! Imported function '_sys_spu_printf_finalize' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_spu_image_close' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_process_exit' in 'sysPrxForUser' module
LDR: ! Imported function 'sys_spu_image_import' in 'sysPrxForUser' module
HLE: W {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x41b850, attr_addr=0x338650)
HLE: ! {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex : *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 3
HLE: W {PPU[1] Thread (CPUThread)[0x7ff600308160]} sys_memory warning: sys_memory_get_user_memory_size(mem_info_addr=0xd000fc04)
HLE: W {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x41b650, attr_addr=0x338650)
HLE: ! {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex : *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 4
HLE: W {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x41a9a0, attr_addr=0x338650)
HLE: ! {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex : *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 5
HLE: W {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x41a9c8, attr_addr=0x338650)
HLE: ! {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex : *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 6
HLE: W {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x41a9f0, attr_addr=0x338650)
HLE: ! {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex : *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 7
HLE: W {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x41a8d8, attr_addr=0x338650)
HLE: ! {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex : *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 8
HLE: W {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x41a900, attr_addr=0x338650)
HLE: ! {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex : *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 9
HLE: W {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x41a928, attr_addr=0x338650)
HLE: ! {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex : *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 10
HLE: W {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x41a950, attr_addr=0x338650)
HLE: ! {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex : *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 11
HLE: W {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x41a978, attr_addr=0x338650)
HLE: ! {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex : *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 12
HLE: W {PPU[1] Thread (CPUThread)[0x7ff6001b9c80]} sys_mutex warning: *** mutex created [WMem.st] (protocol=0x2, recursive=true): id = 13
HLE: W {PPU[1] Thread (CPUThread)[0x7ff600227ba8]} sys_memory warning: sys_memory_get_user_memory_size(mem_info_addr=0xd000fb60)
HLE: W {PPU[1] Thread (CPUThread)[0x7ff6001b99d8]} sys_mutex warning: *** mutex created [] (protocol=0x2, recursive=true): id = 14
HLE: W {PPU[1] Thread (CPUThread)[0x7ff6001b9c80]} sys_mutex warning: *** mutex created [ImageSp] (protocol=0x2, recursive=true): id = 15
HLE: W {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x3f8d60, attr_addr=0xd000fa90)
HLE: ! {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex : *** lwmutex created [] (attribute=0x12): sq_id = 16
HLE: W {PPU[1] Thread (CPUThread)[0xe700470010]} cellSysmodule warning: cellSysmoduleLoadModule(CELL_SYSMODULE_FS)
HLE: W {PPU[1] Thread (CPUThread)[0xe700470010]} cellSysmodule warning: cellSysmoduleLoadModule(CELL_SYSMODULE_PNGDEC)
HLE: W {PPU[1] Thread (CPUThread)[0xe700470010]} cellSysmodule warning: cellSysmoduleLoadModule(CELL_SYSMODULE_NET)
HLE: W {PPU[1] Thread (CPUThread)[0xe700470010]} cellSysmodule warning: cellSysmoduleLoadModule(CELL_SYSMODULE_NETCTL)
HLE: W {PPU[1] Thread (CPUThread)[0xe700470010]} cellSysmodule warning: cellSysmoduleLoadModule(CELL_SYSMODULE_SYSUTIL_NP)
HLE: W {PPU[1] Thread (CPUThread)[0xe700470010]} cellSysmodule warning: cellSysmoduleLoadModule(CELL_SYSMODULE_SYSUTIL_GAME)
HLE: W {PPU[1] Thread (CPUThread)[0xe700470010]} cellSysmodule warning: cellSysmoduleLoadModule(CELL_SYSMODULE_SYSUTIL_NP_TUS)
HLE: W {PPU[1] Thread (CPUThread)[0xe700470010]} cellSysmodule warning: cellSysmoduleLoadModule(CELL_SYSMODULE_SYSUTIL_SAVEDATA)
HLE: W {PPU[1] Thread (CPUThread)[0xe700470010]} cellSysmodule warning: cellSysmoduleLoadModule(CELL_SYSMODULE_SYSUTIL_NP_TROPHY)
HLE: W {PPU[1] Thread (CPUThread)[0xe700470010]} cellSysmodule warning: cellSysmoduleLoadModule(CELL_SYSMODULE_AVCONF_EXT)
HLE: W {PPU[1] Thread (CPUThread)[0xe700470010]} cellSysmodule warning: cellSysmoduleLoadModule(CELL_SYSMODULE_SAIL)
HLE: W {PPU[1] Thread (CPUThread)[0xe700472034]} sceNp warning: sceNpInit(mem_size=0x20000, mem_addr=0x3b8cb0)
HLE: W {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x3e1eb0, attr_addr=0xd000fa90)
HLE: ! {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex : *** lwmutex created [] (attribute=0x12): sq_id = 17
HLE: W {PPU[1] Thread (CPUThread)[0xe6003028c0]} vfsLocalFile::Create('D:\Emulateurs\Rpcs3\dev_hdd0\log.txt')
HLE: ! {PPU[1] Thread (CPUThread)[0xe7003028c0]} sys_fs : "log.txt" opened: fd = 18
HLE: W {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x30121510, attr_addr=0x338650)
HLE: ! {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex : *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 19
TTY: INIT FS
HLE: W {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x3ea278, attr_addr=0xd000fa90)
HLE: ! {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex : *** lwmutex created [] (attribute=0x12): sq_id = 20
HLE: W {PPU[1] Thread (CPUThread)[0xe70036f01c]} cellGame warning: cellGameBootCheck(type_addr=0xd000fb20, attributes_addr=0xd000fb24, size_addr=0x3f8598, dirName_addr=0x3d8cb0)
HLE: W {PPU[1] Thread (CPUThread)[0xe70036f004]} cellGame warning: cellGameContentPermit(contentInfoPath_addr=0xd000fba8, usrdirPath_addr=0xd000fb28)
TTY: Game content Path:/dev_bdvd/PS3_GAME
TTY: User content Path:/dev_bdvd/PS3_GAME/USRDIR
TTY: Debug Launch Not Detected, and datapath not already present
TTY: POST INIT FS
HLE: W {PPU[1] Thread (CPUThread)[0x7ff6001b9c80]} sys_mutex warning: *** mutex created [WWorkQu] (protocol=0x2, recursive=true): id = 21
HLE: W {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex warning: sys_lwmutex_create(lwmutex_addr=0x3f8d98, attr_addr=0xd000f790)
HLE: ! {PPU[1] Thread (CPUThread)[0x7ff600480034]} sys_lwmutex : *** lwmutex created [] (attribute=0x12): sq_id = 22
HLE: W {PPU[1] Thread (CPUThread)[0x7ff6001bdb88]} sys_event_flag warning: sys_event_flag_create(eflag_id_addr=0x3f8db0, attr_addr=0xd000f7c0, init=0x0)
HLE: W {PPU[1] Thread (CPUThread)[0x7ff6001bdb88]} sys_event_flag warning: *** event_flag created [] (protocol=0x2, type=0x20000): id = 23
HLE: W {PPU[1] Thread (CPUThread)[0x7ff6001bdbb4]} sys_semaphore warning: sys_semaphore_create(sem_addr=0x3f8db4, attr_addr=0xd000f7a0, initial_count=0, max_count=1)
HLE: ! {PPU[1] Thread (CPUThread)[0x7ff6001bdbb4]} sys_semaphore : *** semaphore created [] (protocol=0x2): id = 24
HLE: ! {PPU[1] Thread (CPUThread)[0x7ff60048001c]} sys_ppu_thread : *** New PPU Thread [WorkThread] (joinable, entry=0x3a3390): id = 25
HLE: W {PPU[1] Thread (CPUThread)[0xe700466070]} cellSysutil warning: cellSysutilRegisterCallback(slot=0, func_addr=0x3a3320, userdata=0x30142c50)
HLE: E {PPU[1] Thread (CPUThread)[0xe700472040]} sceNp TODO: sceNpManagerRegisterCallback
HLE: W {PPU[1] Thread (CPUThread)[0xe700466028]} cellSysutil warning: cellSysutilEnableBgmPlayback()
HLE: ! {PPU[1] Thread (CPUThread)[0x7ff60048001c]} sys_ppu_thread : *** New PPU Thread [QueryLicense] (joinable, entry=0x3a3398): id = 26
HLE: E {PPU[26] Thread (QueryLicense)[0xe700472004]} sceNp TODO: sceNpDrmVerifyUpgradeLicense(content_id_addr=0x348b68)
